Konten tidak terlalu informatif,netral
Humas kurang aktif di media sosial,negatif
Komentar publik sering diabaikan,negatif
Respon terhadap kritik sangat lambat,negatif
Informasi penting tidak dijelaskan secara detail,negatif
Media sosial kurang dikelola dengan baik,negatif
Kurangnya komunikasi dengan masyarakat,negatif
Banyak keluhan yang tidak ditanggapi,negatif
Publikasi terlihat tidak konsisten,negatif
Humas terkesan pasif,negatif
Informasi perusahaan sulit dipahami,negatif
teks,label
Pelayanan humas PIM sangat buruk,negatif
Respon humas PIM lambat dan mengecewakan,negatif
Informasi dari PIM tidak jelas,negatif
Publikasi PIM terkesan asal asalan,negatif
Admin PIM jarang membalas komentar,negatif
Pelayanan PIM tidak memuaskan,negatif
Kinerja humas PIM dinilai buruk,negatif
Publikasi PIM membingungkan masyarakat,negatif
Informasi PIM sering terlambat,negatif
Pelayanan humas PIM kurang profesional,negatif
Citra PIM di mata publik semakin buruk,negatif
PIM gagal menyampaikan informasi dengan baik,negatif
Konten publikasi PIM tidak informatif,negatif
Pelayanan PIM jauh dari harapan,negatif
Banyak keluhan terhadap humas PIM,negatif
Kinerja PIM sangat mengecewakan,negatif
Informasi yang diberikan PIM kurang lengkap,negatif
PIM tidak responsif terhadap pertanyaan publik,negatif
Publikasi PIM tidak menarik,negatif
Pelayanan humas PIM sangat lambat,negatif
PIM dinilai kurang transparan,negatif
Kepercayaan publik terhadap PIM menurun,negatif
PIM tidak menunjukkan perbaikan pelayanan,negatif
Kualitas informasi PIM buruk,negatif
Humas PIM tidak komunikatif,negatif
PIM sering mengabaikan komentar masyarakat,negatif
Pelayanan PIM dinilai jelek,negatif
Informasi PIM sulit dipahami,negatif
Publikasi PIM tidak efektif,negatif
Kinerja humas PIM kurang maksimal,negatif
PIM menghasilkan dampak yang buruk,negatif
PIM memberikan pelayanan yang tidak baik,negatif
Banyak kritik terhadap humas PIM,negatif
Publikasi PIM sering menimbulkan kesalahpahaman,negatif
PIM gagal membangun citra positif,negatif
Pelayanan PIM mengecewakan masyarakat,negatif
Informasi PIM tidak sesuai harapan,negatif
Humas PIM kurang tanggap,negatif
PIM kurang profesional dalam publikasi,negatif
Pelayanan publik PIM buruk,negatif
Kinerja komunikasi PIM rendah,negatif
PIM tidak serius menangani keluhan,negatif
Publikasi PIM terkesan seadanya,negatif
Informasi humas PIM tidak akurat,negatif
PIM sering mendapat kritik negatif,negatif
Pelayanan humas PIM mengecewakan publik,negatif
PIM kurang peduli terhadap opini masyarakat,negatif
Kinerja PIM dinilai tidak baik,negatif
Pelayanan dan publikasi PIM buruk,negatif
teks,label
Pelayanan humas PIM sangat baik,positif
Respon humas PIM cepat dan ramah,positif
Informasi dari PIM jelas dan mudah dipahami,positif
Publikasi PIM sangat informatif,positif
Admin PIM aktif membalas komentar,positif
Pelayanan PIM memuaskan,positif
Kinerja humas PIM dinilai baik,positif
Publikasi PIM membantu masyarakat,positif
Informasi PIM selalu tepat waktu,positif
Pelayanan humas PIM profesional,positif
Citra PIM di mata publik semakin baik,positif
PIM berhasil menyampaikan informasi dengan baik,positif
Konten publikasi PIM menarik,positif
Pelayanan PIM sesuai harapan,positif
Humas PIM responsif terhadap pertanyaan,positif
Kinerja PIM sangat baik,positif
Informasi yang diberikan PIM lengkap,positif
PIM aktif berkomunikasi dengan masyarakat,positif
Publikasi PIM efektif dan jelas,positif
Pelayanan humas PIM cepat,positif
PIM transparan dalam menyampaikan informasi,positif
Kepercayaan publik terhadap PIM meningkat,positif
PIM menunjukkan peningkatan pelayanan,positif
Kualitas informasi PIM sangat baik,positif
Humas PIM komunikatif,positif
PIM memperhatikan masukan masyarakat,positif
Pelayanan PIM dinilai bagus,positif
Informasi PIM mudah dipahami,positif
Publikasi PIM sangat efektif,positif
Kinerja humas PIM maksimal,positif
PIM memberikan dampak yang baik,positif
PIM memberikan pelayanan yang baik,positif
Banyak apresiasi untuk humas PIM,positif
Publikasi PIM membangun kepercayaan publik,positif
PIM berhasil membangun citra positif,positif
Pelayanan PIM memuaskan masyarakat,positif
Informasi PIM sesuai kebutuhan publik,positif
Humas PIM tanggap,positif
PIM profesional dalam publikasi,positif
Pelayanan publik PIM baik,positif
Kinerja komunikasi PIM tinggi,positif
PIM serius menangani keluhan,positif
Publikasi PIM tersusun rapi,positif
Informasi humas PIM akurat,positif
PIM sering mendapat respon positif,positif
Pelayanan humas PIM diapresiasi publik,positif
PIM peduli terhadap opini masyarakat,positif
Kinerja PIM dinilai sangat baik,positif
Pelayanan dan publikasi PIM baik,positif
teks,label
PIM menyampaikan informasi kepada publik,netral
Publikasi PIM diunggah melalui media sosial,netral
Humas PIM memberikan informasi terbaru,netral
PIM melakukan publikasi kegiatan perusahaan,netral
Informasi PIM dapat diakses oleh masyarakat,netral
PIM menggunakan media sosial untuk publikasi,netral
Humas PIM menyampaikan pengumuman,netral
Publikasi PIM dilakukan secara rutin,netral
PIM membagikan informasi kegiatan,netral
Humas PIM mengelola akun resmi,netral
Informasi PIM tersedia di website,netral
PIM menyampaikan berita perusahaan,netral
Publikasi PIM berisi kegiatan internal,netral
Humas PIM bertugas menyampaikan informasi,netral
PIM mengunggah konten publikasi,netral
Informasi PIM diterima masyarakat,netral
PIM melakukan komunikasi publik,netral
Humas PIM mengelola informasi perusahaan,netral
Publikasi PIM berisi laporan kegiatan,netral
PIM menyampaikan informasi umum,netral
Informasi PIM dipublikasikan secara daring,netral
Humas PIM aktif mengunggah konten,netral
PIM menyampaikan pengumuman resmi,netral
Publikasi PIM dapat dilihat publik,netral
PIM menggunakan platform digital,netral
Humas PIM menyampaikan informasi rutin,netral
Publikasi PIM mencakup kegiatan perusahaan,netral
PIM menyampaikan berita internal,netral
Informasi PIM tersedia untuk umum,netral
Humas PIM mengelola publikasi,netral
PIM membagikan informasi perusahaan,netral
Publikasi PIM dilakukan secara online,netral
Humas PIM menyampaikan informasi formal,netral
PIM menginformasikan kegiatan terbaru,netral
Publikasi PIM bersifat informatif,netral
Humas PIM menyampaikan berita,netral
PIM menggunakan website resmi,netral
Informasi PIM diperbarui secara berkala,netral
Publikasi PIM dilakukan oleh humas,netral
PIM menyampaikan informasi kegiatan,netral
Humas PIM mengelola komunikasi,netral
PIM menyampaikan laporan singkat,netral
Publikasi PIM mencantumkan dokumentasi,netral
Humas PIM mengunggah pengumuman,netral
PIM menyampaikan informasi internal,netral
Publikasi PIM tersedia untuk dibaca,netral
Humas PIM menyampaikan informasi perusahaan,netral
PIM membagikan pengumuman resmi,netral
Publikasi PIM dilakukan sesuai jadwal,netral
